address,lat,long,address_rus
13 IOSIFA KOROLINSKOGO ST SURGUT,61.254571,73.447084,",,Сургут"
51 UNIVERSITETSKIY        VOLGOGRAD,48.664712,44.440744,",,Волгоград"
21 AMURSKAYA STR.         OMSK,55.025039,73.39305,",,Омск"
143A VARSHAVSKOE HW       MOSCOW,55.583953,37.599148,",,Москва"
116-1A GRAZHDANSKIY AV.   S.-PETERBURG,60.034978,30.418186,",,Санкт-Петербург"
102 NOVATOROV BLVD        SANKT-PETERS,59.841355,30.251746,",,Санкт-Петербург"
"POLZUNOVA 15, OB.50       NOVOSIBIRSK ",55.064597,82.989214,",,Новосибирск"
"25B, GAGARINA ST.         ULAN-UDE    ",51.837886,107.593647,",,Улан-Удэ"
BELGOROD. POLKA-34        BELGOROD,50.594528,36.602018,",,Белгород"
"MICHURINSKIJ PR.,D7       MOSKVA      ",55.702835,37.510125,",,Москва"
PRESNENSKAJA NABERE       MOSKVA,55.747459,37.540928,",,Москва"
UL. CSHORSA-8 V           BELGOROD,50.582696,36.566624,",,Белгород"
"D. 133, UL. BRAT'EV KASHI CHELYABINSK ",55.171843,61.305473,",,Челябинск"
"D. 156, UL. KURCHATOVA    KRASNOYARSK ",56.018886,92.784614,",,Красноярск"
"D. 30V, SH. MOSKOVSKOE    NIZHNIY NOVG",56.317143,43.918473,",,Нижний Новгород"
"D. 23, SH. KRASNOARMEISKO VYAZMA G    ",55.199511,34.311853,",,Вязьма"
"D. 69, UL. KRASNOYARSKII  KRASNOYARSK ",56.006381,92.948269,",,Красноярск"
"D. 42, LIT. D, PR-KT 25 O GATCHINA G  ",59.574613,30.127707,",,Гатчина"
"D. 126/1, UL. BAIKAL'SKAY IRKUTSK G   ",52.263436,104.310889,",,Иркутск"
"D. 63, UL. KRASNOGEROISKA IZHEVSK G   ",56.849748,53.220411,",,Ижевск"
"D. 51A, PR-KT KRASNOARMEI BARNAUL G   ",53.337065,83.773892,",,Барнаул"
"D. 101A, UL. SEVASTOPOL'S GUBKIN G    ",51.27157,37.512946,",,Губкин"
"D. 305, PR-KT OBUHOVSKOI  SANKT-PETERB",59.84225,30.459015,",,Санкт-Петербург"
"D. 6, PL. PRIVOKZAL'NAYA  ISHIM G     ",56.111775,69.51178,",,Ишим"
"D. 55, PR-KT SOVETSKOI AR NOVOKUZNETSK",53.837965,87.164763,",,Новокузнецк"
"D. 33, PR-KT DRUZHBY NARO ABAKAN G    ",53.740637,91.425849,",,Абакан"
"D. 1, UL. KOMSOMOL'SKAYA  PODOLSK G   ",55.427862,37.550163,",,Подольск"
"D. 4A, STR. 1, SH. MOSKOV SAMARA G    ",53.204503,50.160542,",,Самара"
"D. 67, UL. VLASIHINSKAYA  BARNAUL G   ",53.32639,83.685103,",,Барнаул"
"D. 46, B-R IZMAILOVSKII   MOSKVA G    ",55.796344,37.805832,",,Москва"
"D. 42, UL. KOMSOMOL'SKAYA KIROV G     ",58.578597,49.651539,",,Киров"
"D. 250/1, UL. BAIKAL'SKAY IRKUTSK G   ",52.254407,104.33658,",,Иркутск"
"D. 15, STR. 1, B-R TVERSK MOSKVA G    ",55.760986,37.600657,",,Москва"
"D. 1A, UL. KAR'ER CEMZAVO ISKITIM G   ",54.653876,83.330412,",,Искитим"
"D. 51, LIT. A, UL. ADMIRA ASTRAKHAN G ",46.358275,48.036871,",,Астрахань"
"D. 97, UL. OBRAZCOVSKAYA  SYZRAN G    ",53.128672,48.429174,",,Сызрань"
"D. 31, UL. CHERNYSHEVSKOG TVER G      ",56.853784,35.92582,",,Тверь"
"D. 34/1, PR-KT LENINSKII  MOSKVA G    ",55.707365,37.57775,",,Москва"
"D. 3, LIT. A, UL. KOLLONT SANKT-PETERB",59.912914,30.446878,",,Санкт-Петербург"
"D. 78, UL. RABOCHEGO SHTA IRKUTSK G   ",52.317673,104.302633,",,Иркутск"
"Proezd Bagrationovskij,Moscow         ",55.745549,37.511832,",,Москва"
"MKRN.INTERNATSOIN, 7A  Sayanogorsk    ",53.098291,91.414818,",,Саяногорск"
KIROVA PR. 15A.1       Kolomna,55.084126,38.766518,",,Коломна"
"SH Volkhonskoye,7/1    Sankt-Peterburg",59.809577,30.126611,",,Санкт-Петербург"
Ploshchad Paveletskaya Moskva,55.730421,37.634793,",,Москва"
"GER. TIKHOOKEAN., 5A   Vladivostok    ",43.092787,131.921363,",,Владивосток"
"Marshala Poluboyarova, Moskva         ",55.690988,37.860243,",,Москва"
"SUKHOVA, 55B           Ussuriysk      ",43.797273,131.95178,",,Уссурийск"
"PR. YUZHNOPORT 2,18.9  Moskva         ",55.702201,37.696669,",,Москва"
"LENINGRADS.,37         KHabarovsk     ",48.488464,135.085778,",,Хабаровск"
"TURGENEVSKOE S., 27    KRASHODAR      ",45.013084,38.929328,",,посёлок Новая Адыгея"
"KHutor Kopanskoy, 85   Krasnodar      ",45.172129,38.804085,",,хутор Копанской"
"HO CHI MIHN AVE, 19       ULYANOVSK   ",54.270443,48.300643,",,Ульяновск"
88 LENINA AV.             PERM,58.010374,56.229398,",,Пермь"
41/1 MIRA AV.             PERM,58.010374,56.229398,",,Пермь"
1 D.DONSKOGO B-R.         MOSCOW,55.574874,37.580104,",,Москва"
12-2 ENTUZIASTOV SH       MOSCOW,55.747363,37.707098,",,Москва"
7 NOSOVIKHINSKOE H.W.     REUTOV,55.745493,37.858986,",,Реутов"
54 LENINGRADSKIY AV.      MOSCOW,55.797883,37.539509,",,Москва"
30-40 CHERNYAKHOVSK       KALININGRAD,54.719804,20.508987,",,Калининград"
1 KOMMUNISTICHESKAY       MYTISHI,55.891835,37.748125,",,Мытищи"
16A DZERZHINSKOGO STR.    TOGLIATTI,53.532966,49.339356,",,Тольятти"
188M MOSKOVSKIY AV.       S.-PETERBURG,59.866314,30.321977,",,Санкт-Петербург"
"G. ELEC, UL. RADIOT       ELEC        ",52.606349,38.478949,",,Елец"
PR.  ANDROPOVA            MOSKVA,55.696752,37.668893,",,Москва"
CHL ARTIL-SKAJA100V       CHELJABINSK,55.17864,61.428102,",,Челябинск"
SML UL. 25 SENTJABR       SMOLENSK,54.766007,32.064565,",,Смоленск"
UL. KOROLEVA-9 A          BELGOROD,50.573961,36.580584,",,Белгород"
"PAVLOVSK. TR., 251V       BARNAUL     ",50.59566,36.587223,",,Белгород"
"UL. KAVALERIJSKAJA,       NOVOSIBIRSK ",55.056734,82.916378,",,Новосибирск"
"D. 1, UL. PRIVOKZAL'NAYA  PAVLOVSKIY P",55.775834,38.685454,",,Павловский Посад"
"D. 87, PR-KT BELGORODSKII BELGOROD G  ",50.602001,36.588408,",,Белгород"
"D. 33, PR-KT KOMMUNISTICH YUZHNO-SAKHA",46.958853,142.741293,",,Южно-Сахалинск"
"D. 99A, UL. BRAT'EV KASHI CHELYABINSK ",55.177853,61.347882,",,Челябинск"
"D. 15A, UL. SVETLOGORSKAY PERM G      ",58.038156,56.032074,",,Пермь"
"D. 13/1, MKR. UBILEINYI   IRKUTSK G   ",52.222332,104.305795,",,Иркутск"
"D. 19, LIT. V, PER. 4-I V PARGOLOVO P ",60.077027,30.250102,",,посёлок Парголово"
"D. 113, PR-KT KOMSOMOL'SK CHELYABINSK ",55.185497,61.285862,",,Челябинск"
"D. 105/107, UL. KOMMUNIST VOLSK G     ",52.04713,47.380508,",,Вольск"
"D. 64, SH. GUSINOBRODSKOE NOVOSIBIRSK ",55.037309,83.016037,",,Новосибирск"
"D. 81, PR-KT BOGDANA HMEL BELGOROD G  ",50.599325,36.579794,",,Белгород"
"D. 7, PR-KT MICHURINSKII  MOSKVA G    ",55.702835,37.510125,",,Москва"
"D. 137T, PR-KT B.HMEL'NIC BELGOROD G  ",50.635611,36.570128,",,Белгород"
"D. 11B, UL. REVOLUCIONNAY TOLYATTI G  ",53.527196,49.276726,",,Тольятти"
"D. 29, UL. RABOCHEGO SHTA IRKUTSK G   ",52.307118,104.296803,",,Иркутск"
"D. 31, UL. AKADEMICHESKAY IRKUTSK G   ",52.233695,104.302417,",,Иркутск"
"D. 152, UL. MAKSIMA GOR'K NIZHNIY NOVG",56.316239,44.004405,",,Нижний Новгород"
"D. 128, LIT. A, UL. LUNAC EKATERINBURG",56.842398,60.618693,",,Екатеринбург"
"D. 10, LIT. A, UL. BABUSH SANKT-PETERB",59.896702,30.423639,",,Санкт-Петербург"
"D. 58, LIT. A, SH. GOSTIL PETERGOF G  ",59.869463,29.828146,",,Петергоф"
"D. 9, UL. SHEREMET'EVSKAY RYAZAN G    ",54.601427,39.831857,",,Рязань"
"D. 4, UL. BLAGOVESHENSKAY VOLOGDA G   ",59.220243,39.884857,",,Вологда"
"D. 24, UL. KOMSOMOL'SKAYA KIROV G     ",58.582088,49.662336,",,Киров"
"D. 82, UL. CHERNYSHEVSKOG UFA G       ",54.729335,55.941318,",,Уфа"
"D. 5, UL. OKTYABR'SKOI RE TUAPSE G    ",44.096527,39.072529,",,Туапсе"
"D. 2, UL. GEROEV DESANTNI NOVOROSSIYSK",44.685364,37.781263,",,Новороссийск"
"Novocheremushkinskaya, Moskva         ",55.690354,37.589078,",,Москва"
"2 SYROMYAT. PR,1       Moskva         ",55.753833,37.662111,",,Москва"
"PARTIZANA ZHELEZNYAKA, Krasnoyarsk    ",56.023923,92.905824,",,Красноярск"
"AVIAITSIONNAYA, 12     Komsomolsk-31  ",53.22818,40.007468,",,"
"KRANDSHTAT. BR., 37B   Moskva         ",55.848286,37.505463,",,Москва"
metro Pl.Lenina        Novosibirsk,55.030003,82.920492,",,Новосибирск"
"GOLOVATOGO, 313        Kemerovo       ",55.354968,86.087314,",,Кемерово"
J.KUDRIAVOGO 24           KHANDYGA,62.648561,135.572404,",,посёлок Хандыга"
MOLCHANOVA 22             PARATUNKA,52.962322,158.254236,",,село Паратунка"
ABB 111 KRASNOARMEJSK.    JOSHKAR-OLA,56.644242,47.858394,",,Йошкар-Ола"
33 KOMENDANTSKIY AV.      S.-PETERBURG,60.021582,30.245054,",,Санкт-Петербург"
10 NAROFOMINSKOE H/W.     KUBINKA,55.578518,36.691059,",,Кубинка"
78 LENINSKIY AVE          MOSCOW,55.682529,37.535996,",,Москва"
51 100 LET VLADIVOSTOKU A VLADIVOSTOK,43.154056,131.90947,",,Владивосток"
1 TORGOVIY AVE            SARATOV,51.533103,46.034158,",,Саратов"
SOLNECHNAYA 104/15        KRASNODAR,45.072185,39.003996,",,Краснодар"
34 LENINA STR             KURGAN,55.441371,65.34508,",,Курган"
6 SEVERNAYA STR           SOCHI,43.594555,39.727589,",,Сочи"
9B RABOCHE-KRESTYAN       VOLGOGRAD,48.697042,44.502,",,Волгоград"
52A REVOLYUTSIONNAYA STR. TOGLIATTI,53.517924,49.271929,",,Тольятти"
64 SCHERTSA STR           BELGOROD,50.59566,36.587223,",,Белгород"
54 LENINSKIY AV.          MOSCOW,55.697909,37.560368,",,Москва"
69A ZANEVSKIY AV.         S.-PETERBURG,59.932482,30.439216,",,Санкт-Петербург"
"MAJOROVA, 18              OMSK        ",54.989342,73.368212,",,Омск"
"14B, TRAKTOVAYA ST.       SREDNIY     ",56.854665,59.062945,",,поселок городского типа Бисерть"
"CVETNOJ B.,D2             MOSKVA      ",55.768025,37.623483,",,Москва"
"LENINGRADSKOE SH.,        MOSKVA      ",55.808058,37.505804,",,Москва"
"G.KURSK, PR. HRUCSH       KURSK       ",51.736006,36.136834,",,Курск"
SH. ENTUZIASTOV           MOSKVA G,55.747966,37.687102,",,Москва"
"D. 111, UL. KALARASH      SOCHI G     ",43.585525,39.723062,",,Сочи"
"D. 54, MKR. PERVOMAISKII  IRKUTSK G   ",52.25423,104.235044,",,Иркутск"
D. 27A                    BELORECHENSK,52.81328,103.524997,",,поселок городского типа Белореченский"
"D. 123, UL. KRASNOARMEISK BLAGOVESHCHE",50.268749,127.539202,",,Благовещенск"
"D. 43, UL. 10 LET OKTYABR OMSK G      ",54.985163,73.393113,",,Омск"
"D. 23A, UL. KRASNOZNAMENN KRASNOZNAMEN",55.59541,37.03877,",,Краснознаменск"
"D. 142V, UL. RASKOL'NIKOV SARAPUL G   ",56.476672,53.816793,",,Сарапул"
"D. 36/2, PR-KT BUMAZHNIKO SYKTYVKAR G ",61.784588,50.745381,",,Сыктывкар"
"D. 2, B-R ENTUZIASTOV     MOSKVA G    ",55.746405,37.682592,",,Москва"
"D. 1, UL. KRASNOOKTYABR'S KALININGRAD ",54.702552,20.505789,",,Калининград"
"D. 120, LIT. 1, NAB. OBVO SANKT-PETERB",59.917763,30.383826,",,Санкт-Петербург"
"D. 17/1, NAB. USHAKOVSKAY SANKT-PETERB",59.984067,30.30375,",,Санкт-Петербург"
"D. 2, UL. KORABEL'NAYA NA VLADIVOSTOK ",43.114292,131.889159,",,Владивосток"
"D. 216, UL. ENERGETIKOV   CHELYABINSK ",55.131743,61.462938,",,Челябинск"
"D. 17, KORP. 4, POM. 1, U NOVOKUZNETSK",53.777324,87.29015,",,Новокузнецк"
"D. 25, UL. 1-YA STANCIONN ISKITIM G   ",54.642603,83.295315,",,Искитим"
"D. 11, LIT. A, SH. VYBORG SANKT-PETERB",60.047146,30.314997,",,Санкт-Петербург"
"D. 12A, UL. NOVOTORZHSKAY TVER G      ",56.8584,35.910378,",,Тверь"
"RASNOARMEYSK.,63       Rostov-na-Donu ",47.228534,39.71362,",,Ростов-на-Дону"
"KRIZHIZHANOV,24/35/6   Moskva         ",55.677717,37.575307,",,Москва"
"CHERNYAKOVSK., 76, 76B Kaliningrad    ",54.720454,20.516452,",,Калининград"
"OMAROVA B., 24         Rostov-na-Donu ",47.359811,39.87785,",,посёлок Рассвет"
"N.TERNOVSKAYA, 1       Penza          ",53.060392,45.100251,",,"
"MOSKOVSKIY, 171a       Sankt-Peterburg",59.862321,30.31983,",,Санкт-Петербург"
"KHIMKI, MOSKOVSKAYA, 14MOSCOW         ",55.894424,37.448905,",,Химки"
"PR.100LET VLADIV,88    VLADIVOSTOK    ",43.168819,131.915956,",,Владивосток"
SOVETSKAYA 25             S. MAYA,55.618776,54.958471,",,село Маядык"
41A GRAZHDANSKIY AV.      S.-PETERBURG,60.011536,30.397812,",,Санкт-Петербург"
305 OBUKHOVSKOY OBORONY A S.-PETERBURG,59.840912,30.483979,",,Санкт-Петербург"
6-1 LENINSKIY AV.         MOSCOW,55.7271,37.606891,",,Москва"
74 LENINGRADSKIY PR.      MOSCOW,55.805189,37.516727,",,Москва"
17 M.VASILEVSKOGO STR.    MOSCOW,55.808923,37.462317,",,Москва"
63 B.ORDYNKA STR.         MOSCOW,55.731876,37.624732,",,Москва"
137B MOSKOVSKIY AV.       S.-PETERBURG,59.881719,30.314673,",,Санкт-Петербург"
193 MOSKOVSKIY AV.        S.-PETERBURG,59.851245,30.320485,",,Санкт-Петербург"
44 TOGLIATTI              NOVOKUZNETSK,53.759985,87.150551,",,Новокузнецк"
74A MOSKOVSKIY AV.        SANKT-PETERB,59.906152,30.319003,",,Санкт-Петербург"
PL KIROVA 2               TOMSK,56.46632,84.981497,",,Томск"
98A TIKHOOKEANSKIY        VLADIVOSTOK,43.1259,131.913943,",,Владивосток"
45/17 N.KRASNOSELSK       MOSCOW,55.773034,37.675765,",,Москва"
22 PARTSEZDA STR.         SAMARA,53.210112,50.22973,",,Самара"
55 FEDYUNINSKOGO ST       TYUMEN,57.10704,65.559319,",,Тюмень"
157 B.GORNAYA STR.        SARATOV,51.539473,46.041569,",,Саратов"
108A VITEBSKIY AV.        S.-PETERBURG,59.827835,30.376388,",,Санкт-Петербург"
MSK KIEVSKOE 1 A          MOSKVA,55.619254,37.396542,",,"
3 KRUTICKIJ P11           MOSKVA,55.731262,37.666036,",,Москва"
"SELSKOHOZJAJST,15-1       MOSKVA      ",55.836731,37.63791,",,Москва"
"LENINSKIJ, 101            MOSKVA      ",55.666624,37.51573,",,Москва"
M-STR.SADOVAJA 22-2       SANKT-PETERB,59.934925,30.337868,",,Санкт-Петербург"
G.TJUMEN UL.RESPUBL       TJUMEN,57.161459,65.52459,",,Тюмень"
ZHELEZNODOR. 8            KRASNOJARSK,56.022801,92.84004,",,Красноярск"
"D. 108, PR-KT KOMSOMOL'SK CHELYABINSK ",55.189706,61.290138,",,Челябинск"
"D. 35V, UL. GEROEV STALIN YOSHKAR-OLA ",56.616853,47.944003,",,Йошкар-Ола"
UL. KRASNYI PROSPEKT      NOVOSIBIRSK,55.020187,82.92246,",,Новосибирск"
UL. KIROVA                NOVOSIBIRSK,55.021777,82.936689,",,Новосибирск"
"D. 17, UL. 10 LET OKTYABR IZHEVSK G   ",56.872546,53.215209,",,Ижевск"
"D. 22, UL. 10 KRASNOARMEI SANKT-PETERB",59.912017,30.295117,",,Санкт-Петербург"
"D. 43, PR-KT 60 LET OKTYA KRASNOYARSK ",55.977662,92.852284,",,Красноярск"
"D. 30, UL. BOL'SHAYA MORS SANKT-PETERB",59.933672,30.312832,",,Санкт-Петербург"
"D. 65, UL. VLASIHINSKAYA  BARNAUL G   ",53.326218,83.690492,",,Барнаул"
"D. 9, UL. OKTYABR'SKOI RE SMOLENSK G  ",54.77494,32.044568,",,Смоленск"
"D. 2, UL. KRASNAYA        GURYEVSK G  ",54.791227,20.636242,",,"
"D. 60, PR-KT NAHODKINSKII NAKHODKA G  ",42.797674,132.873012,",,Находка"
"D. 27A, UL. ELEKTROVOZNAY VORONEZH G  ",51.736826,39.290442,",,Воронеж"
V/CH. 06987               ENGELS G,51.485489,46.126783,",,Энгельс"
UL. ANTONOVA              PENZA G,53.186868,45.076419,",,Пенза"
"D. 9, UL. SADOVAYA-KUDRIN MOSKVA G    ",55.761978,37.58508,",,Москва"
"D. 25, KORP. 3, UL. 70 LE OMSK G      ",54.977294,73.33554,",,Омск"
"78 DOBROVOL. BR.,11    Krasnoyarsk    ",56.042059,92.910495,",,Красноярск"
"SEVASTOPOLSKIY ,43A.2  Magadan        ",59.568164,150.808541,",,Магадан"
Universitetskiy 105    Volgograd,48.641458,44.433881,",,Волгоград"
"KRONDSHTAT. ST., 113   Vyazma         ",55.194619,34.299807,",,Вязьма"
"KSK 5 MKR, 29          CHita          ",52.071118,113.394302,",,Чита"
"MOZHAYSKOE SH.,80A     Odintsovo      ",55.660353,37.188923,",,"
UL. SERGEJA MAKEEVA       MOSKVA,55.756376,37.54948,",,Москва"
"D. 12, UL. AKADEMICHESKAY IRKUTSK G   ",52.234396,104.287928,",,Иркутск"
93 KRASNOARMEYSKAYA       SAMARA,53.190024,50.112195,",,Самара"
20 GUSINOBRODSKOE H/W     NOVOSIBIRSK,55.035503,83.00294,",,Новосибирск"
"YA KOMSOMOLSK,19A      Novo-Aleksandro",47.054855,142.73001,",,Южно-Сахалинск"
102/4A YAMSKAYA STR       TYUMEN,57.159311,65.488065,",,Тюмень"
"D. 9, UL. KUZOVATOVSKAYA  ULYANOVSK G ",54.278987,48.301146,",,Ульяновск"
34 LENINGRADSKIY AVE      MOSCOW,55.82978,37.490371,",,Москва"
"D. 15, UL. BELORECHENSKAY EKATERINBURG",56.818213,60.566267,",,Екатеринбург"
"LENINSKAY, 37          Pervomayskoye  ",57.072053,86.232302,",,село Первомайское"
74-1 LENINGRADSKIY        MOSCOW,55.804162,37.515146,",,Москва"
"D. 24, PR-KT KRASNYH PART USOLYE-SIBIR",52.732421,103.656448,",,Усолье-Сибирское"
"UL.JADRINCEVA, 94         BARNAUL     ",53.336769,83.763903,",,Барнаул"
"D. 1, PER. SPARTAKA       USSURIYSK G ",43.797273,131.95178,",,Уссурийск"
"D. 19, PER. DOSTOEVSKOGO  SYZRAN G    ",53.14712,48.456465,",,Сызрань"
USOLIE-SIBIRSKOE          53 KRASNIKH,52.730867,103.656214,",,Усолье-Сибирское"
"D. 22, PR-KT MASHINOSTROI YAROSLAVL G ",57.626569,39.893787,",,Ярославль"
"D. 113, UL. POBEDA REVOLU SHAKHTY G   ",47.686483,40.201522,",,Шахты"
49 CHERNOISTOCHENSKOE H/W NIZHNIY TAGI,57.869623,59.942495,",,Нижний Тагил"
"D. 16A, UL. INTERNACIONAL TAMBOV G    ",52.721219,41.452274,",,Тамбов"
"D. 88, PR-KT ZOI KOSMODEM AZOV G      ",47.100426,39.419665,",,Азов"
"D. 14, UL. IM GENERALA ME LIPETSK G   ",52.586306,39.53279,",,Липецк"
"13, KORP. A, UL. CENTRAL' NARIMANOV G ",46.689065,47.853902,",,Нариманов"
UNKNOWN                   DZERZHINSK G,56.238287,43.460116,",,Дзержинск"
"ALTUFEVSKOE70,1.          MOSKVA      ",55.88149,37.586571,",,Москва"
"D. 22, PR-KT BRAT'EV KORO ORENBURG G  ",51.789418,55.074866,",,Оренбург"
"D. 14, UL. STANKOSTROITEL ULYANOVSK G ",54.288437,48.297382,",,Ульяновск"
"D. 80 A, UL. OKTYABR'SKAY KURSK G     ",51.75515,36.224043,",,Курск"
"D. 7, KORP. E, UL. SOBINO PENZA G     ",53.22336,44.909629,",,Пенза"
"SAKHALINSKAYA, 69      Y. SAKHALINSK  ",46.963447,142.725788,",,Южно-Сахалинск"
"D. 12, UL. RABOCHEGO SHTA IRKUTSK G   ",52.302933,104.298761,",,Иркутск"
"D. 33, UL. TUHACHEVSKOGO  KEMEROVO G  ",55.329918,86.128619,",,Кемерово"
UL. ASTRAHANSKAYA         TAMBOV G,52.705627,41.467383,",,Тамбов"
"D. 58, UL. SUDOSTROITEL'N KRASNOYARSK ",56.010563,92.852572,",,Красноярск"
LIPETSKAYA 28             INSKOY,54.430615,86.431504,",,посёлок городского типа Инской"
UL. KRASNYJ PROSPEK       NOVOSIBIRSK,55.020187,82.92246,",,Новосибирск"
"Krasnaya Naberezhnaya, Astrakhan      ",46.355613,48.03308,",,Астрахань"
2 LIT A ALLEYA POLIKARPOV SANKT-PETERB,60.006336,30.294246,",,Санкт-Петербург"
"D. 12, UL. 78 DOBROVOL'CH KRASNOYARSK ",56.042064,92.913495,",,Красноярск"
"D. 34, UL. BRAT'EV STEPAN TIMASHEVSK G",45.628295,38.932877,",,Тимашевск"
192-194 MOSKOVSKIY AV.    S.-PETERBURG,59.863563,30.321411,",,Санкт-Петербург"
UL. LENINSKAJA SLOB       MOSKVA,55.71232,37.662803,",,Москва"
"D. 40, PR-KT SVETLANOVSKI SANKT-PETERB",60.023191,30.376549,",,Санкт-Петербург"
"NOVIY BLVD, 5             DOLGOPRUDNIY",55.937422,37.506936,",,Долгопрудный"
PR-KT KRASNYI             NOVOSIBIRSK,55.020187,82.92246,",,Новосибирск"
50-LET BELGORODSK. OB. 11 BELGOROD,50.599914,36.585965,",,Белгород"
"MOROZOVA P.L., 58      KHabarovsk     ",48.411859,135.099244,",,Хабаровск"
"D. 76, PR-KT TRAKTOROSTRO CHEBOXARY G ",56.146277,47.251079,",,Чебоксары"
"PREOBRAZH. PL., 8      Moskva         ",55.794887,37.712812,",,Москва"
ST. KALUGA-1              KALUGA G,54.533441,36.279038,",,Калуга"
"D. 5, UL. KOSTUSHKO-GRIGO CHITA G     ",52.033973,113.499432,",,Чита"
